Node ID,Language,NUMBER_FOLLOWERS,Node Label,IS_VERIFIED,LOCATION,IS_NEWS_AGENCY,TWEET_COUNT
608508474,en,335,AmyKosari,0,"Rochester, MN",,2
105677153,en,19682,sarbetter,1,"Albany, NY",,1
782643547,en,935,ShiverMeTitties,0,Brooklyn/NYC,,1
1544380151680536576,en,239,detroitwon,0,,,23
1175371963570774022,en,1120,DouglasCate1,0,"Maine, USA",,1
1621960369970241536,en,0,cedricberry11,0,,,2
635419330,en,460,JoanMBurda,0,"Lakewood, OH",,1
1622315986752872449,en,87,Ellavladyslav,0,She/Her,,15
760337274,en,26705,lacadri34,0,Bidenstan,,1
866516925664210945,ja,124,yoyofromThai21,0,PC機器はドリルで破壊。,,1
16852687,en,1107,ErinBrennan,0,"Louisville, Kentucky",,1
849383648734441473,en,102,ElPatoloco39,0,"Wisconsin, USA",,2
397206237,en,189,afyqadli,0,Kuala Lumpur,,1
469995795,en,329,membreno86,0,,,1
1292037906182406145,en,149,IAMQuanByrd,0,Petersburg Virginia,,4
1332110161515778049,en,184,RyanMcd5860,0,Michigan,,1
275942684,en,2337,rashidaldosari,0,,,16
274782867,en,411,marypetuni,0,"Bradford, England",,2
3254113460,en,409,The____Trashman,0,"Texas, USA",,1
976973419,en,4117,liberaltrucker,0,"Portland,OR/Newtown/Parkland",,2
525403335,en,1257,lisamakela2,0,,,3
1602415092624199680,en,219,MaryJoanne2022,0,"Virginia, USA",,19
1509566635920744454,en,53,Mercer10Mercer,0,,,1
716631848,en,1814,DwayneFuhlhage,0,Twitter HQ Dumpster,,1
1485763396826013700,en,239,GodsHuckleberry,0,,,4
1402678714094268421,en,184,loganogle3,0,,,6
788529260,en,1435,tommyboychi,0,Chicago,,1
264451340,en,4360,onahunttoday,0,USA,,26
220175178,en,7344,Jerseygirl345,0,#MAGA,,3
789650898309947392,en,34,emilysready,0,,,1
80994991,en,759,F4phantomphan89,0,,,4
1548478272983339008,en,10,raven517578,0,"Vermont, USA",,1
200977418,en,75,ProSpiderGoblin,0,"Mount Pleasant, MI",,1
71813303,en,462,conspiracydup,0,Perth Australia,,4
935295609845796864,en,134,thoughtproven,0,"Dallas, TX",,1
21768766,en,64675,jonathanweisman,1,"Chicago, IL",,4
36490759,en,1417,eddiekilroyjr,1,"Cleveland, OH",,2
1084608373092466688,en,8421,OhioAG,1,"Ohio, USA",,2
34127314,en,1466,krystalrnurse,1,"Lansing, MI",,1
1012855401195491328,en,273,phuklllll,0,,,3
863040929170587648,en,2392,ellerysqueen,0,,,4
1198476909836980224,en,76,BobTheJanitor45,0,"He/him, 22",,1
1255222501,en,1512,Morisaka_Yuuka,0,(born in ),,1
806672105261633536,en,861,ScorpioMrzFrog,0,,,4
1163719671117303808,en,2579,KatsuhikoTsuda,0,,,1
1326650990561533952,en,198,CarolynKGN1,0,United States,,1
107307337,en,1203,JPHX,0,"Lawrence, KS",,1
333517802,en,1001,zoomthagreat,0,chicago ~ cincy,,1
14268323,en,9946,sandy4409,0,WV US,,5
794932346,en,19,Propharm13G,0,United States,,1
803903767,en,523,Djangotime4,0,now in Atlanta via NYC,,4
51321668,en,263,cbharra,0,"St. Augustine, FL",,3
2996166729,en,1138,gasgebouw,0,ir. stefan Tychon™Prickly Peer,,1
108341426,en,342,kT_mooney,0,,,2
3305253308,en,646,deduped_nytimes,0,,,11
185891239,en,1475,granite133,0,"Nashville, TN",,2
1498154020422172675,en,41,MsLove_QuietSun,0,Atlanta,,1
1514044209480806407,en,995,DudeFlyover,0,"Flyover Country, USA ",,1
1003044602,en,235,douglaspeter1,0,"Montreal, Canada",,2
916721869017047040,en,2527,alvarez_nimer,0,Columbus Ohio,,53
20713800,en,5722,TopClassActions,0,"Phoenix, AZ",,3
1179844973509906433,en,47164,CSinclairtv,1,New York,,1
18261728,en,17967,karenkasler,0,"Ohio Statehouse, Columbus",,1
14293310,en,19461992,TIME,0,,1,6
1176026136117166080,en,400827,rawsalerts,0,United states,,8
831603050817138688,en,31834,FreightWaves,0,"Chattanooga, TN",,10
1178773799287885825,en,11009,NewsWire_US,0,"Washington, D.C.",,3
18820392,en,405605,GovMikeDeWine,1,Ohio,,10
16543775,en,333417,detroitnews,1,"Detroit,MI USA",1,2
337808606,en,822915,RobertKennedyJr,1,"Los Angles, California",,3
82689705,en,177363,newrepublic,1,"New York, NY",1,15
303629316,en,4070,haleybemiller,1,"Columbus, OH",,4
22869375,en,15245,LostDiva,0,"Portland, Oregon  USA",,17
20449296,en,272546,barronsonline,1,"New York, NY",1,4
1029953502058106881,en,70,OntheroadnewsAL,0,Central Alabama,,32
3013540724,en,151,EFernandez9000,0,"Lewisville, TX",,2
318199315,en,4256,muoiod,1,Queens,,1
47086949,en,612,jlitwinetz,0,,,13
773909383751360512,en,356,RitaWorlock,0,EVERYWHERE,,1
29897850,en,2720,kimvie,0,,,11
1479785631530115072,en,141,tellmetimes,0,,,16
1597754700560060416,en,55,JulieLanger7,0,"Summerville, SC",,1
283604227,en,31357,AndyVermaut,0,"Diksmuide, België",,32
913930988278898688,en,148,MacombAdjuster,0,"Utica, MI.",,2
16356226,en,120088,WTOL11Toledo,1,"ÜT: 41.654712,-83.528995",1,13
1599894850375225345,en,752,fix_newspeak,0,US,,8
16020526,en,7611,wolfiemouse,0,"Inland Valley, The Pass, S. CA",,3
1052810892,en,655,berylall,0,Findlay,,4
151962770,en,3818,raymonddelauney,0,,,1
1242122660500381696,en,81755,SpecialSitsNews,0,Not Financial Advice,,1
20597234,en,2412,brittanyzucker,0,Houston,,8
30691616,en,10231,Phylter52,0,NE Ohio,,5
1591093306351620103,en,38,tweetonlinenews,0,,,6
956724517,en,6438,stevecstny,0,,,1
299911967,en,2130,goto_matthew,0, King City,,2
825706233457938432,en,9067,vicvon66,0,"Pennsylvania, USA",,1
1555701277,en,7933,lorraine2448,0,"folsom, ca",,1
34341129,en,838,KCGreen17,0,,,5
1594145770965536769,en,54,BruMike01,0,Constitutional Republic,,1
38247147,en,417,itsmydogg,0,"Cincinnati, OH",,1
77244409,en,4418,deesbarbara,0,Crestview Florida...gulf coast,,14
15754281,en,4963076,USATODAY,1,"USA TODAY HQ, McLean, Va.",1,6
133515273,en,5705,hss25,0,"Tampa, FL",,2
2957291879,en,654,APanda1976,0,,,2
98939487,en,283,Tauttuk,0,Alaska,,2
1299484587551318019,en,754,MalteseSailor,0,Columbus,,1
